id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
108038,india better pakistan ?,pakistan better india ?,1,0.058837546281964075,0.0,12,1.0
108039,best way get girlfriend ?,get girl like ?,0,0.0,0.0,14,0.64
108040,motivate ?,motivate ?,0,0.0,0.0,0,1.0
108041,lose weight without quitting ?,best way lose weight without counting calories ?,0,0.0,0.0,22,0.8125
108042,"n't option heavy duvet europe , like sheets individual blankets ?",patients use assistive equipment catheters ostomy devices feel physical cues needing go bathroom ?,0,0.0,0.0,73,0.8181818181818182
108043,"sign quora , already show password email.what ?",california residency relocated illinois live work . file taxes ?,0,0.0,0.0,46,0.7142857142857143
108044,n't want friends negative best friend anymore . ?,tell best friend n't best friends anymore ?,0,0.0,0.0,17,0.8648648648648649
108045,best laptop within 20000-25000 inr range genuinely nice configuration ?,best laptop 25000 inr ?,1,0.0,0.0,48,0.8
108046,root canal tooth still hurt ?,sore tooth root canal ?,0,0.0,0.0,19,0.88
108047,cell know stop dividing ?,cell stop split/divide except death ?,0,0.0,0.0,22,0.75
108048,loose weight ?,really start losing weight ?,1,0.0,0.0,16,0.8461538461538461
108049,daughter wants marry person n't job neither house family education low class ?,"realized 23-year-old fiancée , comes reserved family rajasthan , absolutely sex education . n't like talk reacts 's bad thing . ?",0,0.0,0.05555555555555558,94,0.7857142857142857
108050,mental illness ?,'s like mentally ill parent ?,0,0.0,0.0,16,0.8
108051,types jobs get ms engineering management top us universities much earn ?,job opportunities us completing ms engineering management ?,1,0.10449225726353467,0.0,51,0.8947368421052632
108052,best passive investment strategy ?,best strategy invest share markets ?,0,0.0,0.0,20,0.9032258064516129
108053,animals start letter r ?,animals start letter ?,0,0.0,0.0,2,1.0
108054,father pharmacy ?,major pharmacy ?,0,0.0,0.0,4,0.782608695652174
108055,good gifts foreign visitor bring 're invited someone 's home paraguay first time ?,good gifts foreign visitor bring 're invited someone 's home turkey first time ?,0,0.0,0.0,6,0.926829268292683
108056,delete question quora ?,delete question quora ?,1,0.0,0.0,0,1.0
108057,buy unlocked iphone 7 us ?,buy unlocked iphone 7 us ?,1,0.06499377814380891,0.0,0,1.0
108058,businesses gained market share post us sanctions russia ?,russian brands lost market share post us sanctions ?,0,0.04147227506677305,0.0,22,0.9473684210526315
108059,cat eat dog food ? safe ?,safe cats eat dog food ?,1,0.0,0.0,13,1.0
108060,replace windows os android linux os smartphone ?,add dual-boot windows os onto linux os ?,0,0.0,0.0,28,0.7647058823529411
108061,best way start learning programming ?,start learning programming language ? one start ?,1,0.0,0.0,30,0.875
108062,normal pain 5 days teeth implant ?,"finished invisalign used retainer 5 years , still need continue using retainer ? use , teeth change much ?",0,0.0,0.0,82,0.8205128205128205
108063,biggest challenges homeschooler ?,biggest frustration homeschooling ?,1,0.0,0.0,14,0.9411764705882353
108064,effect changes ionic concentration trophozoite stage naegleria fowleri ?,"early stages dating , disadvantage making decisions based logic ?",0,0.0,0.0,54,0.6842105263157895
108065,hack cmd ?,best way hack using cmd ?,1,0.0,0.0,15,0.6153846153846154
108066,effects brexit ?,positive impacts brexit ?,0,0.0,0.0,12,0.7692307692307693
108067,size online payments market africa ?,size online payments market ?,0,0.0,0.0,7,0.9411764705882353
108068,flipkart work ?,companies like flipkart actually work ?,1,0.0,0.0,24,0.7741935483870968
108069,interesting products innovations premier coming 2016 ?,interesting products innovations amazon coming 2016 ?,0,0.0,0.0,7,0.9767441860465116
108070,answer voted one quora ?,upvoted answer quora ?,1,0.0,0.0,11,0.9655172413793104
108071,natural watch pornography ?,watch pornography ?,0,0.0,0.0,8,0.9285714285714286
108072,niece administered dptw-3 +dpta-3 +hepatitis= 5 vaccine november 5 expired date vaccine october 2016 ?,looking considered sign humbleness ?,0,0.0,0.0,86,0.5777777777777777
108073,best book/resource learn design patterns ?,good resources learning design patterns ?,1,0.0,0.0,12,0.9142857142857143
108074,point system made game lawn tennis ?,history tennis ' strange scoring system ?,0,0.0,0.0,29,0.75
108075,earning 80k per month hyderabad . 23 years old . plan life ?,22 year old guy working mnc earning 67k per month . invest house turn 35 ?,0,0.06965664052593394,0.052631578947368474,56,0.7924528301886793
108076,"could describe object , would ?",could describe self one object would ?,1,0.07207935243407186,0.0,11,0.9090909090909091
108077,monomers proteins ?,monomers lipids ?,0,0.0,0.0,6,0.8695652173913043
108078,alternatives ways lose 30 pounds 1 month ?,best diet lose 30 pounds month ?,1,0.0,0.0,16,0.8205128205128205
108079,much revenue crackle.com making ?,much revenue murmurapp.com making ?,0,0.0,0.0,8,0.9411764705882353
108080,download appstore ios ?,get downloads app android ios ?,0,0.0,0.0,12,0.9655172413793104
108081,best books organic chemistry ?,best book organic chemistry ?,1,0.0,0.0,1,1.0
108082,need responsible ?,would appropriate response ?,0,0.0,0.0,19,0.8148148148148148
108083,best disney protagonist far ?,airbnb calculate called 'service fee ' ( specific ) ?,0,0.0,0.0,43,0.7222222222222222
108084,new harry potter book 'harry potter cursed child ' ?,new harry potter book `` harry potter cursed child '' ?,1,0.0,0.0,4,0.9767441860465116
108085,first must-have homebrew packages install mac ?,install mac os acer laptop ?,0,0.0,0.0,33,0.7567567567567568
108086,abbreviation long word ?,'abbreviated ' long word ?,0,0.0,0.0,5,0.967741935483871
108087,actors actresses n't married rich person ?,bollywood actresses married non-rich/middle class guys ?,1,0.0,0.0,32,0.7368421052631579
108088,much one person deposit bank account without pan card ?,much money one deposit indian bank saving account black money ?,0,0.0,0.0,34,0.85
108089,drugs legal others n't ?,drugs illegal ?,0,0.0,0.0,13,0.7692307692307693
108090,rating single phase induction motor ?,single phasing induction motor result ?,0,0.0,0.0,17,1.0
108091,make appear offline facebook ?,appear offline whatsapp ?,0,0.0,0.0,13,0.7333333333333333
108092,make `` music mix '' ?,make mix songs ?,0,0.0,0.0,12,0.72
108093,good reading people ?,read people . put good use ?,0,0.0,0.0,19,0.7692307692307693
108094,delete photos upload icloud drive ?,remove photos iphone without removing icloud storage ?,1,0.0,0.0,30,0.8888888888888888
108095,comes first chicken egg ?,"came first , chicken egg ?",1,0.0,0.0,4,0.9032258064516129
108096,"important roles man , lan , san vpn ?",hvac play important role achieve job ?,0,0.0,0.0,28,0.7878787878787878
108097,find best seo company delhi ?,find best seo company delhi ?,1,0.0,0.0,0,1.0
108098,girlfriend voting donald trump ?,donald trump ’ voting history ?,0,0.0,0.0,23,0.8333333333333334
108099,time heals everything ?,time heal ?,1,0.0,0.0,12,0.75
108100,chinese people think donald trump ?,chinese people think donald trump 's victory ?,1,0.0,0.0,11,0.9230769230769231
108101,possible lose 20 pounds month ?,healthy lose 20 pounds 2 months ?,0,0.0,0.0,11,0.8823529411764706
108102,scope digital marketing india ?,scope digital marketing india ?,1,0.043986130303558954,0.0,0,1.0
108103,first kiss lips ?,story first kiss ?,0,0.0,0.0,10,0.8
108104,activate windows 8.1 ?,activate windows 8 ?,0,0.0,0.0,2,0.9333333333333333
108105,25 ugly . girl attracted . feel depressed sometimes . ?,"feeling depressed , interesting anything . could see beauty everything except , sometimes wish dead , ?",0,0.0,0.0,74,0.8085106382978723
108106,applied pr visa canada agent . soon get job canada get pr visa ?,looking pr visa canada agent called make visas . promised assist getting job well . trust ?,0,0.0,0.11111111111111116,54,0.9047619047619048
108107,best career option diploma holder electrical engineering ?,career options available pursue m.designing b.tech electrical engineering ?,1,0.0,0.0,37,0.9230769230769231
108108,many users myminifactory.com ?,many users dailyfeats.com ?,0,0.0,0.0,10,0.9411764705882353
108109,think manchester derby ?,manchester derby ?,0,0.0,0.0,6,0.9333333333333333
108110,best way sync iphone macbook pro ?,sync iphone new macbook ?,1,0.0,0.0,17,0.9411764705882353
108111,"salary sundar pichai ( ceo , google ) ?",sundar pichai 's classmates feel becoming ceo google ?,0,0.0,0.0,35,0.7804878048780488
108112,stop worrying over-thinking everything ?,stop thinking everything ?,1,0.0,0.0,14,0.9375
108113,believe astrology ?,astrology believers : specific reasons believe astrology ?,1,0.0,0.0,39,0.8484848484848485
108114,difference idf gasket sms gasket ?,symptoms blown head gasket ?,0,0.0,0.0,23,0.6666666666666666
108115,get green card mexican immigrant ?,get legal permanent resident status ( green card ) usa ?,0,0.0,0.0,40,0.7741935483870968
108116,every human read person 's thoughts ? would life scenario ?,would happen every human read thoughts human beings ?,1,0.0,0.0,40,0.9090909090909091
108117,best applock uses low ram ?,deactivate applock ?,0,0.0,0.0,21,0.6896551724137931
108118,call centers : best way get campaigns call center ?,could find campaign call center ?,1,0.0,0.0,25,0.7428571428571429
108119,house crickets eat ? digest ?,good option join indian army doctor ?,0,0.0,0.0,28,0.6666666666666666
108120,"live comfortably $ 400,000 year new york city ?","live comfortably $ 5,600 month new york city ?",0,0.12226119612736344,0.0,9,0.9130434782608695
108121,prepare campus interview ?,one prepare interviews ?,1,0.0,0.0,11,0.8571428571428571
108122,abdomen pain deep breathing ... cause ?,could causing back pain someone takes deep breath ?,0,0.0,0.0,38,0.9230769230769231
108123,much would shimla tour cost chennai ?,much cost join pink gym chennai 3 months ?,0,0.0,0.0,26,0.7222222222222222
108124,tqwl different ckwl ( tatkal waiting list ) ?,indian rail ( ir ) convert confirmed tickets wait-listed tickets chart preparation ? ir decide priority quota skipping booked tickets ? tatkal wait-listed accommodated priority ?,0,0.0,0.0,146,0.8085106382978723
108125,`` 怀疑 '' mean ?,ιχς mean ?,0,0.0,0.0,8,0.631578947368421
108126,deep learning overhyped ?,machine learning overrated overhyped ?,0,0.0,0.0,17,0.9090909090909091
108127,proceed career completed 12th bipc ?,proceed career ? completed 12th bipc ?,1,0.0,0.0,2,1.0
108128,real value pi ?,value [ math ] \pi [ /math ] calculated ?,0,0.0,0.0,33,0.6428571428571429
108129,"90 lakh hand , 's best way invest india order get monthly return around 80k ?",optimized way invest 75 lakh generate regular monthly income india ?,0,0.023914644819403443,0.0,53,0.7843137254901961
108130,favorite classical composer favorite classical piece ?,favorite classical composer ?,1,0.0,0.0,25,1.0
108131,best training institute sap course banashankari ?,best training institute sap pune ?,0,0.0,0.0,17,0.8666666666666667
108132,n't anyone reply questions quora ?,n't everyone ask answer question answer quora ?,1,0.07758348185754764,0.0,20,0.8484848484848485
108133,"unified payment interface ( upi ) india big blow online payment solutions like paytm , payu etc . ?","one create upi ( unified payment interface ) account , popular banks india ?",0,0.018943738201566057,0.0,71,0.9387755102040817
108134,solution problem ?,solution problems ?,0,0.0,0.0,1,1.0
108135,mahabharata made comic super heroes would cast role ?,f mahabharata made comic super heroes . would cast role ?,1,0.0,0.0,4,0.9473684210526315
108136,mind-blowing robotic home gadgets exist people n't know ?,mind blowing gadgets exist people n't know ?,0,0.0,0.0,14,0.9047619047619048
108137,way grow taller puberty ?,makes grow taller puberty ?,0,0.0,0.0,4,0.9032258064516129
108138,lie quora ?,lie ?,0,0.0,0.0,6,0.6666666666666666
108139,opposite word `` tomboy '' ?,word `` tomboy '' sexist ?,0,0.0,0.0,16,0.9375
108140,human attain morality without religion ?,morality without god ?,1,0.0,0.0,19,0.9032258064516129
108141,find investors startup ?,find investors good idea ?,0,0.0,0.0,9,0.896551724137931
108142,get study abroad ?,studies abroad ?,1,0.0,0.125,7,0.88
108143,cook manchurian ?,cook vegetable manchurian ?,1,0.0,0.0,10,0.8
108144,good inpatient drug alcohol rehab center near jefferson county fl ?,good inpatient drug alcohol rehab center near leon county fl ?,0,0.0,0.0,6,0.95
108145,focus study ?,study ?,1,0.0,0.0,6,0.8235294117647058
108146,celebrities end ?,celebrity ?,0,0.0,0.0,7,0.8181818181818182
108147,bad get spark plugging battery ?,best iridium spark plugs ? ?,0,0.0,0.0,21,0.9090909090909091
108148,"good solar panel installation provider murphys , california ca ?","good solar panel installation provider alhambra , california ca ?",0,0.0,0.0,8,0.9302325581395349
108149,colorblind people racist ?,convince color blind friends care race ?,0,0.0,0.0,23,0.8666666666666667
108150,basic tips starting business ?,basic tips start business ?,1,0.0,0.0,3,0.9629629629629629
108151,make 100 million day trader ?,make 10 million year day trader ?,0,0.0,0.08333333333333337,6,1.0
108152,wash thongs washing machine ?,best way wash shoes washer ?,0,0.0,0.0,20,0.6923076923076923
108153,zip code india ?,find job zip code 98102 ?,0,0.04730957624317496,0.0,14,0.6896551724137931
108154,things new employees know going first day vector group ?,things new employees know going first day cme group ?,0,0.0,0.0,5,0.9777777777777777
108155,india secular country ?,think india secular country ?,0,0.051077494927128854,0.0,6,0.9375
108156,s.p . balasubramanyam 's best song ?,"best songs s.p balasubramaniam languages hindi , usual s.p style songs , energetic expressive ?",0,0.0,0.0,65,0.8095238095238095
108157,terrorism ever stopped india ?,terrorism stopped india ?,1,0.04279278356851821,0.0,5,0.9629629629629629
108158,would danger atheist jew france ?,dangerous `` western '' atheist turkey right ?,0,0.0,0.0,28,0.7894736842105263
108159,learn php ruby ?,"'s better learn , php ruby ?",1,0.0,0.0,12,0.8571428571428571
108160,current difference ms usa . job opportunities differ ?,"difference cis , cs , se ms ?",0,0.0,0.0,35,0.7096774193548387
108161,perform better online dating ?,tall guys ever date short girls ?,0,0.0,0.0,26,0.6875
108162,exactly happened nehru lady mountbatten ?,jinnah also involved lady mountbatten besides nehru ?,0,0.0,0.0,34,0.8108108108108109
108163,introvert change extrovert ?,person change introvert extrovert ?,1,0.0,0.0,18,0.9333333333333333
108164,best seo services company delhi ?,best seo company delhi ncr seo services ?,1,0.0,0.0,25,1.0
108165,'s performance difference video rendering macbook pro 2012 nvidia graphics card macbook pro 2015 iris intel ?,weight loss lead height increase ?,0,0.0,0.0,92,0.7142857142857143
108166,face hands darker legs ?,tigers 4 legs 2 legs 2 hands ?,0,0.0,0.0,22,0.7586206896551724
108167,apply permanent residency visa dubai ?,dubai give permanent residency expats ?,0,0.0,0.0,18,0.918918918918919
108168,latest update seo ?,latest update seo ?,1,0.0,0.0,0,1.0
108169,michael jackson really fake death ? yes ?,believe ( michael jackson death hoax investigation ) ( facebook ) ?,0,0.0,0.0,40,0.8095238095238095
108170,favorite cousin marriage coming lahore well known best shopping zones best shopping ?,best online shops buy handicrafts jharkhand ?,0,0.0,0.0,65,0.8181818181818182
108171,wwe really fake ?,pro wrestling fake ?,1,0.0,0.0,9,0.6923076923076923
108172,difference legal entity business unit ?,difference company partnership ? partnership firm business legal entities employ people pakistan ?,0,0.0,0.0,67,0.8717948717948718
108173,suitable career options intj personality type ?,mba/mgmt degree/career suitable intj personality type ?,0,0.0,0.0,21,0.8947368421052632
108174,feel pulse abdomen . normal ?,okay pulse rate 102 beats per minute normal pulse rate ?,0,0.0,0.0,36,0.7222222222222222
108175,meet ?,meet ?,0,0.0,0.0,0,1.0
108176,review faadooengineers ?,review product reviews ?,0,0.0,0.0,12,0.7142857142857143
108177,perfect inelasticity demand ?,perfectly inelastic demand ?,1,0.0,0.0,5,1.0
108178,germans ' side world war ii ?,germans ever apologised world world war ii ?,0,0.0,0.0,18,0.9032258064516129
108179,best motivational story ever heard ?,best motivational story ever heard ?,1,0.0,0.0,0,1.0
108180,post questions anonymously ca n't leave anonymous answers quora ?,"ask answer question anonymously , ca n't add comment ?",0,0.04932915975457414,0.0,36,0.8780487804878049
108181,life get easier harder get older ?,life hard get older ?,1,0.0,0.0,13,0.9629629629629629
108182,excellent student.i psychological problem found intelligence diminished meagre level.what ?,conditions contracts building india ?,0,0.0,0.0,68,0.75
108183,civil cases examples ?,examples civil cases ?,1,0.0,0.0,16,1.0
108184,vote trump ?,someone vote trump ?,1,0.0,0.0,8,0.9090909090909091
108185,many people enjoy drinking coffee ?,drink coffee ? reasons think people enjoy drinking coffee much ?,1,0.0,0.0,31,0.9
108186,get mailing list email marketing startup ?,get mailing list email marketing startup zero cost ?,0,0.0,0.0,10,0.9090909090909091
108187,tell last time server rebooted ?,tell last time server rebooted ?,1,0.0,0.0,0,1.0
108188,2 hours layover time enough transfer t3 t1 delhi airport ?,exactly go terminal 1c terminal 1d delhi airport ? 2 hour layover time enough reach 1d 1c ?,0,0.0,0.0,70,0.8888888888888888
108189,things new employees know going first day universal ?,things new employees know going first day moog ?,0,0.0,0.0,9,0.9523809523809523
108190,one meditation home ?,one practice meditation home ?,1,0.0,0.0,9,0.88
108191,best whatsapp status ?,best whatsapp sttatus ?,1,0.0,0.0,1,1.0
108192,talcum powder really cause cancer ?,baby powder cause cancer ?,1,0.0,0.0,12,0.875
108193,beautiful hindi movies ?,heartwarming hindi movies ?,1,0.0,0.0,9,0.7878787878787878
108194,global warming exist ?,global warming real hoax ?,1,0.0,0.0,8,0.9032258064516129
108195,"company join , tcs ibm gbs ?",fresher company better join itc infotech ibm gbs ?,0,0.0,0.0,24,0.8571428571428571
108196,long take get ct scan results ?,ct scan show cancer ?,0,0.054205052271947794,0.0,22,0.7692307692307693
108197,like president united states ?,like president united states america ?,1,0.0,0.0,8,0.9333333333333333
108198,connect wireless mic desktop 2.1 channel speaker system ?,want connect 2 sets speakers laptop . ?,0,0.0,0.0,39,0.8421052631578947
108199,people add snapchat add back ?,"snapchat , someone blocked , still shows added section , snapchat still wo n't allow add . ’ going ?",0,0.0,0.0,75,0.7894736842105263
108200,known someone viewed facebook profile ?,know viewers facebook profile ?,1,0.0,0.0,11,0.9444444444444444
108201,unable see twelve dots simultaneosly ?,’ possible simultaneously see twelve dots image ?,1,0.0,0.0,31,0.918918918918919
108202,embarrassing moment life iitian ?,embarrassing moments life ?,0,0.0,0.0,8,1.0
108203,pursue career game development ?,study want pursue career gaming development ?,1,0.0,0.0,14,0.918918918918919
108204,get second hand books online india ?,best second hand book sites india ?,1,0.04056661604852557,0.0,8,0.9333333333333333
108205,marketing strategy ?,marketing strategy involve ?,0,0.0,0.0,8,0.896551724137931
108206,apple innovative ?,apple innovate ?,0,0.0,0.0,2,1.0
108207,good ideas two truths lie ?,lies lying : easiest way catch liar ?,0,0.0,0.0,24,0.7741935483870968
108208,prepare persistent aptitude test ?,functions softpub.dll ?,0,0.0,0.0,27,0.6666666666666666
108209,would mark cuban good us president ?,anyone seriously believe mark cuban ever run us president ?,1,0.05374494830481455,0.0,29,0.9
108210,garrison carbon monoxide alarms used ?,garrison carbon monoxide alarms work ?,0,0.0,0.0,4,0.9142857142857143
108211,get flat tummy ?,reduce weight tummy ?,1,0.0,0.0,10,0.64
108212,investing strategy recommend binary options trading ?,best strategy earn money binary option trading ?,1,0.0,0.0,15,0.9411764705882353
108213,find sum prime numbers ?,simple formula calculate sum prime factors number ?,0,0.0,0.0,32,0.8
108214,espn continually redirecting venezuelan site ?,espn logo designed ?,0,0.0,0.0,31,0.7333333333333333
108215,one become great coder ?,stratergy great coder ?,1,0.0,0.0,9,0.8
108216,best free way learn piano ?,free ways learn piano ?,1,0.0,0.0,6,0.9333333333333333
108217,create company culture small business ?,one start small business ?,0,0.0,0.0,17,0.9032258064516129
108218,way gain followers facebook ?,would gain followers facebook twitter ?,0,0.0,0.0,12,0.8888888888888888
108219,gain muscle mass ?,gain weight ?,1,0.0,0.0,10,0.6363636363636364
108220,?,b.tech student start preparation rbi grade b exam ?,0,0.0,0.07692307692307687,50,0.09523809523809523
108221,long take pass bill us ?,think issa 's reintroduced bill get passed ?,0,0.12227246046587352,0.0,31,0.8571428571428571
108222,animal ?,animal ?,0,0.0,0.0,0,1.0
108223,transfer whatsapp chats iphone 6 email ?,transfer whatsapp chats iphone 4s email ?,0,0.0,0.0,2,0.9444444444444444
108224,recover gmail password without recovery phone number email ?,recover gmail password use phone # email ?,0,0.0,0.0,20,0.9047619047619048
108225,get suspected cheating boyfriend confess ?,get boyfriend admit cheating ?,1,0.0,0.0,30,0.8888888888888888
108226,tax return year looking significantly less last year wrong ?,filed federal tax return forgot include income ( less $ 250 ) earned beginning year still college . given small amount still required refile ?,0,0.22023405671319068,0.045454545454545414,105,0.7083333333333334
108227,difference php 's get method & post method ?,best testing method php ?,0,0.0,0.0,29,0.8125
108228,going delhi year ias preparation ?,best month go delhi ias preparation ?,0,0.17360871444445167,0.0,16,0.9090909090909091
108229,improve spoken english ?,improve fluency english ?,1,0.0,0.0,6,0.8484848484848485
108230,think clearly feeling lost uncertain future ?,feel lost energy think ?,0,0.0,0.0,29,0.9090909090909091
108231,topics prepared technical aptitude zoho ?,us president ?,0,0.0,0.0,30,0.7857142857142857
108232,wrestling divas posed nude ?,person gave 3 lakh rs friend friend says n't borrowed anything ? person take back money legally ?,0,0.0,0.0,79,0.7619047619047619
108233,improve aim ( rifle shooting ) ?,fix aim ?,0,0.0,0.0,26,0.46153846153846156
108234,best online clothing store kids ?,top 3 online clothing stores women 's ?,0,0.0,0.0,13,0.7647058823529411
108235,'s favorite zodiac sign ?,favourite zodiac sign ?,1,0.0,0.0,4,0.9411764705882353
108236,'s something unusual said job interview got hired ?,"interview , signs 've said something made person suddenly decide n't want take ?",0,0.0,0.0,58,0.8444444444444444
108237,get pregnant ?,woman become pregnant ?,1,0.0,0.0,11,0.782608695652174
108238,"suggest top medical universities ukraine , europe ?",suggest top medical universities ukraine study mbbs course ukraine ?,1,0.07550842361125372,0.0,20,0.926829268292683
108239,plan outing ?,plan outing friends ?,0,0.13696661718180542,0.0,8,0.8148148148148148
108240,"according indians small gap jeans top shameless 6 inch gap saari blouse traditional , ?","'s difference low , mid high rise jeans ?",0,0.2152040040941737,0.0,66,0.8095238095238095
108241,ca n't remember apple id password ca n't get email either ?,"forgot apple id password , ?",0,0.0,0.0,37,0.7777777777777778
108242,black hole really hole ?,would n't event horizon black hole sphere around central mass ?,0,0.0,0.0,45,0.6285714285714286
108243,swachh bharat swasth bharat slogans ?,participate swachh bharat campaign ?,0,0.0,0.0,20,0.8
108244,"learn spanish , french , russian second language ?","language learn first ? spanish , russian french ?",1,0.0,0.0,33,0.9142857142857143
108245,would win war somalia indonesia ?,would win war indonesia iran ?,0,0.0,0.0,13,0.9629629629629629
108246,convert 35 mm film camera digital camera scratch ?,describe digital camera . different miniature camera ?,0,0.0,0.0,38,0.7894736842105263
108247,happens atom bomb explodes ?,long nuclear explosion take ?,0,0.0,0.0,24,0.6875
108248,"would guy ask bored , calls say 's trying stay trouble ?","guy mean starts asking bore , calls say 's going start staying trouble ?",0,0.0,0.0,30,0.926829268292683
108249,pros cons teaching english foreign language japan ?,pros cons teaching english foreign language ?,0,0.0,0.0,6,0.9714285714285714
108250,lizards eat spiders ?,lizards eat spiders ?,0,0.0,0.0,0,1.0
108251,find co authors write legal research papers ?,factors affect mechanical properties woven fabrics ?,0,0.0,0.0,39,0.8421052631578947
108252,possible repercussions marrying dalit boy . valid societal norms ?,calculate . bar rcc beam also weight ?,0,0.0,0.0,49,0.8205128205128205
108253,rain affect flights flying ?,planes fly raining ?,0,0.07384579684632045,0.0,18,0.8571428571428571
108254,many atoms present 2.0 mol sulfuric acid ?,many hydrogen atoms 1.32 mol glucose ( c6h12o6 ) ?,0,0.0,0.0,34,0.7555555555555555
108255,stop shaking speaking public ?,stop shaking speaking publicly ?,1,0.0,0.0,2,0.9714285714285714
108256,need project java . want make patterns . patterns make ?,know jio sim rejected ?,0,0.0,0.0,45,0.8484848484848485
108257,stupid ?,stupid ?,0,0.0,0.0,0,1.0
108258,dv^2/dt= ?,"dv/dt=u , ( v^-1 ) /dt ?",0,0.0,0.0,17,0.6956521739130435
108259,military spouses stay faithful ?,ias officers stay away spouses ?,0,0.0,0.0,22,0.8387096774193549
108260,permissible perform tawaf first floor ?,ekg differ echocardiogram ?,0,0.0,0.0,30,0.6206896551724138
108261,stop pomeranian/shih tzu mix humping furniture ?,stop shepherd-husky mix puppy humping furniture ?,1,0.0,0.0,21,0.8205128205128205
108262,donald trump secretly democrat ?,donald trump undercover democrat ?,1,0.0,0.0,9,0.9032258064516129
